ASIN,Copertina,Titolo,Autore,Data,Recensioni,Categoria
B0CF4BJN3D,https://m.media-amazon.com/images/I/61VfPKjuuPL._AC_UY218_.jpg,IL MONDO AL CONTRARIO,ROBERTO VANNACCI,10 ago. 2023,12033,Politica
B0731FSNPT,https://m.media-amazon.com/images/I/81wMgl8BMoL._AC_UY218_.jpg,Patria,Fernando Aramburu,28 ago. 2017,4440,Politica
8817154687,https://m.media-amazon.com/images/I/710MUrNAofL._AC_UY218_.jpg,Io sono Giorgia. Le mie radici le mie idee,Giorgia Meloni,11 mag. 2021,4358,Politica
8804751169,https://m.media-amazon.com/images/I/61b9n48Ze0L._AC_UY218_.jpg,Mussolini il capobanda. Perché dovremmo vergognarci del fascismo,Aldo Cazzullo,13 set. 2022,3435,Politica
8893442418,https://m.media-amazon.com/images/I/61wnWjGb3FL._AC_UY218_.jpg,Il fascismo eterno,Umberto Eco,11 gen. 2018,3188,Politica
8830104957,https://m.media-amazon.com/images/I/51GlpQMTFNL._AC_UY218_.jpg,M. L'uomo della provvidenza,Antonio Scurati,31 mag. 2023,2894,Politica
B0CC38KMF7,https://m.media-amazon.com/images/I/71wA3caK8JL._AC_UY218_.jpg,Quando eravamo i padroni del mondo: Roma: l'impero infinito,Aldo Cazzullo,26 set. 2023,2714,Politica
8807897458,https://m.media-amazon.com/images/I/61ckQT+MDjL._AC_UY218_.jpg,La banalità del male,Arendt,4 apr. 2023,2543,Politica
8804734337,https://m.media-amazon.com/images/I/610tVsgSMCS._AC_UY218_.jpg,Questa è l'America. Storie per capire il presente degli Stati Uniti e il nostro futuro,Francesco Costa,25 mag. 2021,2524,Politica
B0CN1KW1D2,https://m.media-amazon.com/images/I/71iSnBAuX+L._AC_UY218_.jpg,Israele e i palestinesi in poche parole,Marco Travaglio,17 nov. 2023,2177,Politica
8807848562,https://m.media-amazon.com/images/I/61ba-H7GXvL._AC_UY218_.jpg,Della gentilezza e del coraggio. Breviario di politica e altre cose,Gianrico Carofiglio,10 giu. 2025,2070,Politica
8869480070,https://m.media-amazon.com/images/I/61DfmC4SclL._AC_UY218_.jpg,Necropolitica,Achille Mbembe,29 set. 2016,1770,Politica
8817158216,https://m.media-amazon.com/images/I/814+oCiYgTL._AC_UY218_.jpg,Bomba atomica,Roberto Mercadini,19 ott. 2021,1699,Politica
B00LPZ1KKS,https://m.media-amazon.com/images/I/710VAWncwWL._AC_UY218_.jpg,Cristo si è fermato a Eboli (Super ET),Carlo Levi,8 lug. 2014,1652,Politica
880475589X,https://m.media-amazon.com/images/I/61eP6uoOJbL._AC_UY218_.jpg,Fermare Pechino. Capire la Cina per salvare l'Occidente,Federico Rampini,29 nov. 2022,1639,Politica
B0DJD3SS3J,https://m.media-amazon.com/images/I/71NDP3wxoWL._AC_UY218_.jpg,Elogio dell'ignoranza e dell'errore,Gianrico Carofiglio,29 ott. 2024,1608,Politica
8807898721,https://m.media-amazon.com/images/I/61V7amdbcZL._AC_UY218_.jpg,Una persona alla volta,Strada,9 apr. 2024,1591,Politica
B09V1DWZG5,https://m.media-amazon.com/images/I/71QzjUefyuL._AC_UY218_.jpg,Suicidio occidentale: Perché è sbagliato processare la nostra storia e cancellare i nostri valori,Federico Rampini,29 mar. 2022,1415,Politica
8807036525,https://m.media-amazon.com/images/I/71NG0cI3EXL._AC_UY218_.jpg,La strada giovane,Antonio Albanese,1 apr. 2025,1376,Politica
8804797002,https://m.media-amazon.com/images/I/61Utzc5Qj3L._AC_UY218_.jpg,La crepa e la luce. Sulla strada del perdono. La mia storia,Gemma Calabresi Milite,30 ago. 2024,1325,Politica
880789792X,https://m.media-amazon.com/images/I/61ERyY3Wg+L._AC_UY218_.jpg,Io sono il potere,Anonimo,2 giu. 2023,1274,Politica
8856694964,https://m.media-amazon.com/images/I/61Ftl8b6C0L._AC_UY218_.jpg,Il coraggio vince. Vita e valori di un generale incursore,Roberto Vannacci,12 mar. 2024,1249,Politica
8832737493,https://m.media-amazon.com/images/I/71tiTtDSJGL._AC_UY218_.jpg,No sleep till Shengal,Zerocalcare,4 ott. 2022,1236,Politica
B073RVX3Y8,https://m.media-amazon.com/images/I/8160UX0F0HL._AC_UY218_.jpg,La masseria delle allodole,Antonia Arslan,13 lug. 2017,1150,Politica
885815553X,https://m.media-amazon.com/images/I/51uTCTcFMkL._AC_UY218_.jpg,Il suicidio di Israele,Anna Foa,4 ott. 2024,1149,Politica
8850253613,https://m.media-amazon.com/images/I/61B4e8RaWpL._AC_UY218_.jpg,Cuore di rondine,Comandante Alfa,30 mag. 2019,1136,Politica
B07VZTX2Y3,https://m.media-amazon.com/images/I/91woNSvNKHL._AC_UY218_.jpg,Errore di sistema,Edward Snowden,17 set. 2019,1136,Politica
8817163937,https://m.media-amazon.com/images/I/61d2JE0p0nL._AC_UY218_.jpg,Ripartiamo dalle basi. Cassetta degli attrezzi per capire l'attualità e la politica,Emilio Mola,6 set. 2022,1100,Politica
B0CLRRFHB3,https://m.media-amazon.com/images/I/71HOwJnz7TL._AC_UY218_.jpg,Geopolitica umana: Capire il mondo dalle civiltà antiche alle potenze odierne,Dario Fabbri,14 nov. 2023,1083,Politica
B015S2M9S0,https://m.media-amazon.com/images/I/91h4ca7PSzL._AC_UY218_.jpg,I sommersi e i salvati,Primo Levi,28 set. 2015,1075,Politica
8855447335,https://m.media-amazon.com/images/I/71wXPP7TdHL._AC_UY218_.jpg,Putin. L'ultimo zar da San Pietroburgo all'Ucraina,Nicolai Lilin,12 mar. 2022,1075,Politica
8828209097,https://m.media-amazon.com/images/I/714k8ZNx-8L._AC_UY218_.jpg,America. Viaggio alla riscoperta di un Paese,Federico Rampini,28 giu. 2022,1027,Politica
8804776889,https://m.media-amazon.com/images/I/71zKK5+K1tL._AC_UY218_.jpg,Frontiera. Perché sarà un nuovo secolo americano,Francesco Costa,5 mar. 2024,1008,Politica
B0B3XWJN99,https://m.media-amazon.com/images/I/8183AkikFrL._AC_UY218_.jpg,Ucraina. Critica della politica internazionale,Alessandro Orsini,14 giu. 2022,904,Politica
B0BRYQKJN1,https://m.media-amazon.com/images/I/817vQZnzZHL._AC_UY218_.jpg,"Scemi di guerra. La tragedia dell’Ucraina, la farsa dell’Italia. Un paese pacifista preso in ostaggio dai nopax",Marco Travaglio,24 feb. 2023,885,Politica
8817195324,https://m.media-amazon.com/images/I/71AdTw10ewL._AC_UY218_.jpg,"Quando il mondo dorme. Storie, parole e ferite della Palestina",Francesca Albanese,27 mag. 2025,880,Politica
B00CXMZOIQ,https://m.media-amazon.com/images/I/71+AjH9NFJL._AC_UY218_.jpg,"Buonanotte, signor Lenin (Il Cammeo Vol. 236)",Tiziano Terzani,20 giu. 2013,820,Politica
8811603692,https://m.media-amazon.com/images/I/511Z63LLx7L._AC_UY218_.jpg,Il fascismo degli antifascisti,Pier Paolo Pasolini,6 set. 2018,810,Politica
886758250X,https://m.media-amazon.com/images/I/610Ey86dcKL._AC_UY218_.jpg,La casa in collina,Cesare Pavese,1 gen. 2022,795,Politica
8807174502,https://m.media-amazon.com/images/I/51qKtQV+eCL._AC_UY218_.jpg,Gaza. Odio e amore per Israele,Gad Lerner,21 mag. 2024,743,Politica
8838944660,https://m.media-amazon.com/images/I/51daZzYo+HL._AC_UY218_.jpg,Brick for stone,Alessandro Barbero,21 mar. 2023,739,Politica
B084Q4YG3N,https://m.media-amazon.com/images/I/71DdvReu5QL._AC_UY218_.jpg,Nella testa del Dragone: Identità e ambizioni della Nuova Cina,Giada Messetti,3 mar. 2020,721,Politica
B0DFXKSCYR,https://m.media-amazon.com/images/I/71V29bDgK1L._AC_UY218_.jpg,"Grazie, Occidente!: Tutto il bene che abbiamo fatto",Federico Rampini,10 set. 2024,718,Politica
881714097X,https://m.media-amazon.com/images/I/71sFEQFqq7L._AC_UY218_.jpg,"Vita mia. Giappone, 1943. Memorie di una bambina italiana in un campo di prigionia",Dacia Maraini,3 ott. 2023,706,Politica
8850254776,https://m.media-amazon.com/images/I/61M-XBhP-GL._AC_UY218_.jpg,Lettere contro la guerra,Tiziano Terzani,11 lug. 2019,670,Politica
8856696223,https://m.media-amazon.com/images/I/61VnSQ0QAqL._AC_UY218_.jpg,In nome della libertà. La forza delle idee di Silvio Berlusconi,Paolo Del Debbio,9 apr. 2024,611,Politica
8806244876,https://m.media-amazon.com/images/I/71QUMvPgUYL._AC_UY218_.jpg,La matematica è politica,Chiara Valerio,25 ago. 2020,602,Politica
B0C2G1MGM4,https://m.media-amazon.com/images/I/71ftx+nXZuL._AC_UY218_.jpg,Il santo,Marco Travaglio,14 lug. 2023,598,Politica
B0DPJJVD32,https://m.media-amazon.com/images/I/71kYZzIE7nL._AC_UY218_.jpg,Casa Bianca-Italia. La corruzione dell'informazione di uno Stato satellite,Alessandro Orsini,8 apr. 2025,586,Politica
8865882166,https://m.media-amazon.com/images/I/71ubZQ+9d4L._AC_UY218_.jpg,I Rothschild e gli altri. Dal governo del mondo all'indebitamento delle nazioni: i segreti delle famiglie più potenti,Pietro Ratto,7 mag. 2020,552,Politica
8850264186,https://m.media-amazon.com/images/I/714Wp+W4U9L._AC_UY218_.jpg,La porta proibita,Tiziano Terzani,5 apr. 2024,547,Politica
8858141121,https://m.media-amazon.com/images/I/51JQuinZW-L._AC_UY218_.jpg,E allora le foibe?,Eric Gobetti,14 gen. 2021,529,Politica
8807894408,https://m.media-amazon.com/images/I/71Y8zixsooL._AC_UY218_.jpg,Il libro dei cinque anelli,Musashi,22 ott. 2020,524,Politica
B0FP3NT475,https://m.media-amazon.com/images/I/81Zgt3ha8vL._AC_UY218_.jpg,Alzarsi all'alba,Mario Calabresi,16 set. 2025,517,Politica
8817184330,https://m.media-amazon.com/images/I/61BfkBJnXaL._AC_UY218_.jpg,Le regole del gioco. Dal terrorismo alle spie russe: come il controspionaggio offensivo ha protetto gli italiani,Marco Mancini,16 ott. 2023,507,Politica
B0062OQZLG,https://m.media-amazon.com/images/I/81ACrKQrS+L._AC_UY218_.jpg,Manifesto del partito comunista (Acquarelli),K. Marx - F. Engels,7 mag. 2013,496,Politica
8804749903,https://m.media-amazon.com/images/I/71EjzmgWhVL._AC_UY218_.jpg,La Cina è già qui. Perché è urgente capire come pensa il Dragone,Giada Messetti,29 mar. 2022,492,Politica
8807897377,https://m.media-amazon.com/images/I/61IoKNfvl+L._AC_UY218_.jpg,La nuova manomissione delle parole,Gianrico Carofiglio,7 mar. 2023,490,Politica
8855440322,https://m.media-amazon.com/images/I/91tBogIZr2L._AC_UY218_.jpg,La bestia. Dai misteri d'Italia ai poteri massonici che dirigono il nuovo ordine mondiale,Carlo Palermo,29 set. 2020,483,Politica
8832961075,https://m.media-amazon.com/images/I/61quFr6dBSL._AC_UY218_.jpg,"Peccato originale. Conti segreti, verità nascoste, ricatti: il blocco di potere che ostacola la rivoluzione di Francesco",Gianluigi Nuzzi,22 nov. 2018,481,Politica
8834610377,https://m.media-amazon.com/images/I/61LcW-WDB8L._AC_UY218_.jpg,"Educazione americana. Da Mani pulite ai segreti di Vladimir Putin, le confessioni di un infiltrato della CIA in Italia",Fabrizio Gatti,7 apr. 2022,479,Politica
B0069CXAL4,https://m.media-amazon.com/images/I/81zXqxTQ3EL._AC_UY218_.jpg,Il Principe,Niccolò Machiavelli,25 apr. 2011,477,Politica
B0DSM2GLDK,https://m.media-amazon.com/images/I/71mAmb8qYgL._AC_UY218_.jpg,L'influencer,Matteo Renzi,18 mar. 2025,476,Politica
8869342344,https://m.media-amazon.com/images/I/71sQyoC5dXL._AC_UY218_.jpg,"L'Honda anomala. Il rapimento Moro, una lettera anonima e un ispettore con le mani legate",Pietro Ratto,15 mar. 2017,468,Politica
8832856654,https://m.media-amazon.com/images/I/61ScG1dDARL._AC_UY218_.jpg,C'è del marcio in Occidente,Piergiorgio Odifreddi,23 apr. 2024,467,Politica
8807174766,https://m.media-amazon.com/images/I/61y4ly2u42L._AC_UY218_.jpg,Con parole precise. Manuale di autodifesa civile,Gianrico Carofiglio,7 ott. 2025,461,Politica
8850260776,https://m.media-amazon.com/images/I/61uzsTqqp8S._AC_UY218_.jpg,Missioni segrete,Comandante Alfa,20 mag. 2021,458,Politica
B0CTS4LK18,https://m.media-amazon.com/images/I/61hoBOQ2u+L._AC_UY218_.jpg,"Ucraina, Russia e Nato in poche parole",Marco Travaglio,19 nov. 2024,454,Politica
B0CTWVTKW3,https://m.media-amazon.com/images/I/61ubgmavTDL._AC_UY218_.jpg,Il fascismo non è mai morto,Luciano Canfora,2 feb. 2024,454,Politica
B093LJBGFJ,https://m.media-amazon.com/images/I/71QKLUZBMOS._AC_UY218_.jpg,Arcipelago N: Variazioni sul narcisismo (Vele),Vittorio Lingiardi,4 mag. 2021,432,Politica
880477763X,https://m.media-amazon.com/images/I/61Lye8aTQYL._AC_UY218_.jpg,"Azadi! Un diario di viaggio, prigionia e libertà",Alessia Piperno,26 set. 2023,416,Politica
B0CK1D7NYC,https://m.media-amazon.com/images/I/71hF0x36tYL._AC_UY218_.jpg,Ucraina-Palestina. Il terrorismo di Stato nelle relazioni internazionali,Alessandro Orsini,30 apr. 2024,400,Politica
8804763892,https://m.media-amazon.com/images/I/61KMXj29i2L._AC_UY218_.jpg,"Il rancore e la speranza. Ritratto di una nazione dal dopoguerra a Giorgia Meloni, in un mondo macchiato di sangue",Bruno Vespa,8 nov. 2023,388,Politica
8891443638,https://m.media-amazon.com/images/I/71wrAmfjP3L._AC_UY218_.jpg,Concorso ASMEL Enti Locali 2025 - Teoria e Quiz delle materie comuni a tutti i profili,AA.VV.,14 ago. 2025,387,Politica
8804683112,https://m.media-amazon.com/images/I/713WFODJKdL._AC_UY218_.jpg,Chi ha paura muore ogni giorno. I miei anni con Falcone e Borsellino,Giuseppe Ayala,13 set. 2017,383,Politica
B078XY2JPN,https://m.media-amazon.com/images/I/41rT2qJcyJL._AC_UY218_.jpg,La Repubblica delle stragi impunite,Imposimato Ferdinando,9 gen. 2018,382,Politica
8804800763,https://m.media-amazon.com/images/I/61wmXWMbdwL._AC_UY218_.jpg,"L'oro e la patria. Storia di Niccolò Introna, eroe dimenticato",Federico Fubini,30 set. 2025,370,Politica
8883371488,https://m.media-amazon.com/images/I/71ennT3R2sL._AC_UY218_.jpg,Il principe. Ediz. integrale. Con Segnalibro,Niccolò Machiavelli,1 gen. 2013,365,Politica
8869056163,https://m.media-amazon.com/images/I/71fquX5OiiL._AC_UY218_.jpg,Le donne dell'orchestra rossa,Jennifer Chiaverini,15 apr. 2021,364,Politica
8817189782,https://m.media-amazon.com/images/I/71Ls7m14FTL._AC_UY218_.jpg,"Dentro il grande gioco. Orientarsi nel caos degli equilibri internazionali. Fra Storia, guerre e scenari futuri",Emilio Mola,25 feb. 2025,357,Politica
